Link,,Map,Mod,Suggested pp value,Best pp value,Difference
https://osu.ppy.sh/beatmapsets/2165226#fruits/4567537,,tn-shi - Annihilation in F# Minor (Jemzuu) [Finale],NM,1280,,-1280
https://osu.ppy.sh/beatmapsets/2456695#fruits/5370210,,Nanahoshi Kangengakudan - Dance Number o Tomo ni (Mochi -) [Relentless Overdrive],HR,1280,,-1280
https://osu.ppy.sh/beatmapsets/2309425#fruits/4940513,,Kry.exe feat. Ice - Last Wish (Bunnrei) [Encore],NM,1280,,-1280
https://osu.ppy.sh/beatmapsets/1960126#fruits/4061928,,Lorna Shore - Sun//Eater (Daletto) [Kyrie Eleison],HR,1280,,-1280
https://osu.ppy.sh/beatmapsets/1736560#fruits/3549142,,Camellia - TremENDouS (Bunnrei) [ResplENDencE],NM,1274,,-1274
https://osu.ppy.sh/beatmapsets/1939742#fruits/4010555,,seatrus - EXXTRA JUDGEMENT (-Rustyy) [SALVATION],HR,1267,,-1267
https://osu.ppy.sh/beatmapsets/1938940#fruits/4008332,,Lime - BEYOND (GiGas) [Go Beyond],HR,1265,,-1265
https://osu.ppy.sh/beatmapsets/1938940#fruits/4008332,,Lime - BEYOND (GiGas) [Go Beyond],HR,1265,,-1265
https://osu.ppy.sh/beatmapsets/2348097#fruits/5050970,,An - Saigo (rinkiha) [Release],HR,1265,,-1265
https://osu.ppy.sh/beatmapsets/1673971#fruits/3419551,,Ravensblood - Storms of Ages (fuhie) [Himmelsk Tidevannsstrom],NM,1263,,-1263
https://osu.ppy.sh/beatmapsets/1689443#fruits/3526148,,Kobaryo - Villain Virus [feat. Camellia] (x_angelkawaii_x) [Overdose],DT,1260,,-1260
https://osu.ppy.sh/beatmapsets/1550926#fruits/3169318,,Camellia - Kisaragi (Spectator) [Specuu's Parallel Universe],NM,1260,,-1260
https://osu.ppy.sh/beatmapsets/1301991#fruits/2726074,,Camellia - GHOST (2020 Halloween+++++++++ VIP) (Spectator) [SPECTER],HR,1260,,-1260
https://osu.ppy.sh/beatmapsets/1901630#fruits/3920360,,Aqua Timez - Velonica (TV Size) (Secre) [Resurreccion],DT,1258,,-1258
